true_category,knn_category,llm_category,true_priority,pred_priority,confidence,methods_agree
billing,billing,billing,medium,medium,0.8251,True
ordering,configurator,ordering,medium,medium,0.3275,False
other,other,other,low,low,0.8122,True
technical,technical,technical,low,medium,0.9398,True
billing,billing,billing,high,medium,0.9536,True
technical,technical,technical,high,medium,0.8787,True
service,service,service,medium,medium,0.8277,True
billing,billing,billing,low,medium,0.891,True
ordering,ordering,ordering,medium,high,0.9541,True
technical,technical,technical,medium,medium,0.8169,True
billing,billing,billing,medium,medium,0.8886,True
billing,billing,billing,low,medium,0.8139,True
warranty,warranty,warranty,low,high,0.9459,True
configurator,configurator,configurator,medium,medium,0.955,True
warranty,warranty,warranty,medium,low,0.8816,True
warranty,warranty,warranty,low,medium,0.9537,True
configurator,configurator,configurator,low,low,0.8304,True
general,general,general,low,low,0.8727,True
billing,billing,billing,low,medium,0.8784,True
warranty,warranty,warranty,high,high,0.8933,True
general,general,general,low,low,0.7684,True
warranty,warranty,warranty,low,high,0.8835,True
ordering,ordering,ordering,low,low,0.8218,True
service,service,service,low,low,0.9464,True
technical,technical,technical,medium,medium,0.8154,True
general,general,general,low,low,0.8872,True
service,service,service,high,low,0.9397,True
technical,technical,technical,medium,medium,0.7531,True
technical,technical,technical,low,low,0.9384,True
configurator,configurator,configurator,low,low,0.9471,True
other,other,other,low,low,0.8851,True
technical,technical,technical,high,medium,0.821,True
configurator,configurator,configurator,low,medium,0.9494,True
general,general,general,medium,low,0.8097,True
ordering,ordering,ordering,low,medium,0.9478,True
ordering,ordering,ordering,low,high,0.9517,True
service,warranty,service,high,high,0.3153,False
technical,technical,technical,medium,low,0.8762,True
billing,billing,billing,high,high,0.8276,True
general,general,general,medium,low,0.8286,True
ordering,ordering,ordering,medium,medium,0.9391,True
ordering,ordering,ordering,high,medium,0.8173,True
service,service,service,low,medium,0.9369,True
warranty,warranty,warranty,low,high,0.8775,True
technical,technical,technical,low,high,0.8769,True
warranty,warranty,warranty,low,low,0.8871,True
warranty,warranty,warranty,high,high,0.9545,True
general,general,general,low,low,0.8792,True
technical,technical,technical,high,high,0.8799,True
service,service,service,high,medium,0.8721,True
